M0_Ftr0_v,M0_Ftr1_v,M0_Ftr2_v,M0_Ftr3_v,M0_Ftr4_v,M1_Ftr5_v,M1_Ftr6_v,M1_Ftr7_v,Result
1,3511,524,191,297,53,177,322,Fail
1,3597,463,159,456,54,177,399,Fail
1,3478,411,155,432,60,188,420,Fail
1,3766,533,148,302,49,185,348,Fail
1,3913,455,160,383,44,171,367,Fail
1,3467,530,166,390,52,173,269,Fail
1,3569,463,162,346,50,201,263,Fail
1,3569,542,138,404,45,184,451,Fail
1,3244,504,214,334,41,161,423,Fail
1,3518,426,249,430,47,208,443,Fail
1,3600,448,179,392,46,173,373,Fail
1,3467,439,150,404,53,193,440,Fail
1,3213,431,162,417,54,199,417,Fail
1,3680,447,138,458,48,183,471,Fail
1,3482,394,192,359,55,197,383,Fail
1,3564,360,217,427,51,181,378,Fail
1,3703,536,253,383,51,186,478,Fail
1,3214,410,150,339,43,188,424,Fail
1,3722,469,192,509,50,180,398,Fail
